,index_x,movie,release_date,genre,MPAA_rating,total_gross,inflation_adjusted_gross,index_y,character,voice-actor
0,0,Snow White and the Seven Dwarfs,1937-12-21,Musical,G,184925485.0,5228953251.0,80,Bashful,Scotty Mattraw
1,0,Snow White and the Seven Dwarfs,1937-12-21,Musical,G,184925485.0,5228953251.0,237,Doc,Roy Atwell
2,0,Snow White and the Seven Dwarfs,1937-12-21,Musical,G,184925485.0,5228953251.0,248,Dopey,Eddie Collins
3,0,Snow White and the Seven Dwarfs,1937-12-21,Musical,G,184925485.0,5228953251.0,382,Grumpy,Pinto Colvig
4,0,Snow White and the Seven Dwarfs,1937-12-21,Musical,G,184925485.0,5228953251.0,389,Happy,Otis Harlan
5,0,Snow White and the Seven Dwarfs,1937-12-21,Musical,G,184925485.0,5228953251.0,412,Humbert the Huntsman,Stuart Buchanan
6,0,Snow White and the Seven Dwarfs,1937-12-21,Musical,G,184925485.0,5228953251.0,534,The Magic Mirror,Moroni Olsen
7,0,Snow White and the Seven Dwarfs,1937-12-21,Musical,G,184925485.0,5228953251.0,696,Prince,Harry Stockwell
8,0,Snow White and the Seven Dwarfs,1937-12-21,Musical,G,184925485.0,5228953251.0,724,Queen Grimhilde,Lucille La Verne
9,0,Snow White and the Seven Dwarfs,1937-12-21,Musical,G,184925485.0,5228953251.0,802,Sleepy,Pinto Colvig
10,0,Snow White and the Seven Dwarfs,1937-12-21,Musical,G,184925485.0,5228953251.0,806,Sneezy,Billy Gilbert
11,0,Snow White and the Seven Dwarfs,1937-12-21,Musical,G,184925485.0,5228953251.0,807,Snow White,Adriana Caselotti
12,1,Pinocchio,1940-02-09,Adventure,G,84300000.0,2188229052.0,112,Blue Fairy,Evelyn Venable
14,1,Pinocchio,1940-02-09,Adventure,G,84300000.0,2188229052.0,191,The Coachman,Charles Judels
15,1,Pinocchio,1940-02-09,Adventure,G,84300000.0,2188229052.0,313,Figaro the Cat,Mel Blanc
16,1,Pinocchio,1940-02-09,Adventure,G,84300000.0,2188229052.0,355,Geppetto,Christian Rub
17,1,Pinocchio,1940-02-09,Adventure,G,84300000.0,2188229052.0,357,Gideon,Mel Blanc
18,1,Pinocchio,1940-02-09,Adventure,G,84300000.0,2188229052.0,424,J. Worthington Foulfellow,Walter Catlett
19,1,Pinocchio,1940-02-09,Adventure,G,84300000.0,2188229052.0,440,Jiminy Cricket,Cliff Edwards; Eddie Carroll
20,1,Pinocchio,1940-02-09,Adventure,G,84300000.0,2188229052.0,494,Lampwick,Frankie Darro
21,1,Pinocchio,1940-02-09,Adventure,G,84300000.0,2188229052.0,588,Monstro,Thurl Ravenscroft
22,1,Pinocchio,1940-02-09,Adventure,G,84300000.0,2188229052.0,684,Pinocchio,Dickie Jones
23,1,Pinocchio,1940-02-09,Adventure,G,84300000.0,2188229052.0,819,Stromboli,Charles Judels
24,2,Fantasia,1940-11-13,Musical,G,83320000.0,2187090808.0,90,Ben Ali Gator,Jim Cummings
25,2,Fantasia,1940-11-13,Musical,G,83320000.0,2187090808.0,167,Chernabog,Corey Burton
26,2,Fantasia,1940-11-13,Musical,G,83320000.0,2187090808.0,414,Hyacinth Hippo,Tress MacNeille
27,2,Fantasia,1940-11-13,Musical,G,83320000.0,2187090808.0,530,Madame Upanova,Tress MacNeille
29,2,Fantasia,1940-11-13,Musical,G,83320000.0,2187090808.0,924,Yen Sid,Corey Burton
30,3,Song of the South,1946-11-12,Adventure,G,65000000.0,1078510579.0,123,Br'er Bear,Nick Stewart
31,3,Song of the South,1946-11-12,Adventure,G,65000000.0,1078510579.0,124,Br'er Fox,James Baskett
32,3,Song of the South,1946-11-12,Adventure,G,65000000.0,1078510579.0,125,Br'er Rabbit,Johnny Lee
