,index,movie_title,release_date,genre,MPAA_rating,total_gross,inflation_adjusted_gross
0,0,Snow White and the Seven Dwarfs,1937-12-21,Musical,G,184925485.0,5228953251.0
1,1,Pinocchio,1940-02-09,Adventure,G,84300000.0,2188229052.0
2,2,Fantasia,1940-11-13,Musical,G,83320000.0,2187090808.0
3,3,Song of the South,1946-11-12,Adventure,G,65000000.0,1078510579.0
4,4,Cinderella,1950-02-15,Drama,G,85000000.0,920608730.0
5,5,"20,000 Leagues Under the Sea",1954-12-23,Adventure,,28200000.0,528279994.0
6,6,Lady and the Tramp,1955-06-22,Drama,G,93600000.0,1236035515.0
7,7,Sleeping Beauty,1959-01-29,Drama,,9464608.0,21505832.0
8,8,101 Dalmatians,1961-01-25,Comedy,G,153000000.0,1362870985.0
9,9,The Absent Minded Professor,1961-03-16,Comedy,,25381407.0,310094574.0
10,10,Babes in Toyland,1961-12-14,Musical,G,10218316.0,124841160.0
11,11,Bon Voyage!,1962-05-17,Comedy,Not Rated,9230769.0,109581646.0
12,12,The Sword in the Stone,1963-12-25,Adventure,,22182353.0,153870834.0
13,13,The Jungle Book,1967-10-18,Musical,Not Rated,141843000.0,789612346.0
14,14,Blackbeard's Ghost,1968-02-08,Comedy,,21540050.0,138612686.0
15,15,The Aristocats,1970-04-24,Musical,G,55675257.0,255161499.0
16,16,The Boatniks,1970-07-01,Comedy,,18607492.0,101200742.0
17,17,Bedknobs and Broomsticks,1971-10-07,Musical,,17871174.0,91305448.0
18,18,The Apple Dumpling Gang,1975-07-01,Comedy,,31916500.0,131246872.0
19,19,Freaky Friday,1977-01-21,Comedy,,25942000.0,98067733.0
21,21,The Rescuers,1977-06-22,Adventure,,48775599.0,159743914.0
22,22,Herbie Goes to Monte Carlo,1977-06-24,unknown,,28000000.0,105847527.0
23,23,The Black Hole,1979-12-21,unknown,,35841901.0,120377374.0
24,24,Midnight Madness,1980-02-08,unknown,,2900000.0,9088096.0
25,25,The Last Flight of Noah’s Ark,1980-06-25,unknown,,11000000.0,34472116.0
26,26,The Devil and Max Devlin,1981-01-01,unknown,,16000000.0,48517980.0
28,28,The Fox and the Hound,1981-07-10,Comedy,,43899231.0,133118889.0
30,30,Night Crossing,1982-02-05,Drama,,4500000.0,12903059.0
31,31,Tron,1982-07-09,Action,,26918576.0,77184895.0
32,32,Tex,1982-11-19,Drama,,7199408.0,20643199.0
33,33,Trenchcoat,1983-03-11,Comedy,,4304286.0,11519089.0
